"@timestamp",message,"kubernetes.pod.name"
"Feb 7, 2024 @ 10:32:41.584","2024-02-07 09:32:41 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:40.570","2024-02-07 09:32:40 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:39.556","2024-02-07 09:32:39 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:38.546","2024-02-07 09:32:38 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:37.535","2024-02-07 09:32:37 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:36.522","2024-02-07 09:32:36 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:35.509","2024-02-07 09:32:35 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:34.488","2024-02-07 09:32:34 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:33.472","2024-02-07 09:32:33 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:32.461","2024-02-07 09:32:32 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:31.448","2024-02-07 09:32:31 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:30.434","2024-02-07 09:32:30 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:29.419","2024-02-07 09:32:29 INFO  Lag:82 - total lag 156",controllerandscaler
"Feb 7, 2024 @ 10:32:28.407","2024-02-07 09:32:28 INFO  Lag:82 - total lag 278",controllerandscaler
"Feb 7, 2024 @ 10:32:27.370","2024-02-07 09:32:27 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:26.356","2024-02-07 09:32:26 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:25.344","2024-02-07 09:32:25 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:24.330","2024-02-07 09:32:24 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:23.319","2024-02-07 09:32:23 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:22.304","2024-02-07 09:32:22 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:21.289","2024-02-07 09:32:21 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:20.274","2024-02-07 09:32:20 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:19.260","2024-02-07 09:32:19 INFO  Lag:82 - total lag 167",controllerandscaler
"Feb 7, 2024 @ 10:32:18.246","2024-02-07 09:32:18 INFO  Lag:82 - total lag 244",controllerandscaler
"Feb 7, 2024 @ 10:32:17.234","2024-02-07 09:32:17 INFO  Lag:82 - total lag 366",controllerandscaler
"Feb 7, 2024 @ 10:32:16.225","2024-02-07 09:32:16 INFO  Lag:82 - total lag 298",controllerandscaler
"Feb 7, 2024 @ 10:32:15.204","2024-02-07 09:32:15 INFO  Lag:82 - total lag 224",controllerandscaler
"Feb 7, 2024 @ 10:32:14.192","2024-02-07 09:32:14 INFO  Lag:82 - total lag 222",controllerandscaler
"Feb 7, 2024 @ 10:32:13.086","2024-02-07 09:32:13 INFO  Lag:82 - total lag 165",controllerandscaler
"Feb 7, 2024 @ 10:32:12.073","2024-02-07 09:32:12 INFO  Lag:82 - total lag 278",controllerandscaler
"Feb 7, 2024 @ 10:32:11.060","2024-02-07 09:32:11 INFO  Lag:82 - total lag 272",controllerandscaler
"Feb 7, 2024 @ 10:32:10.045","2024-02-07 09:32:10 INFO  Lag:82 - total lag 261",controllerandscaler
"Feb 7, 2024 @ 10:32:09.031","2024-02-07 09:32:09 INFO  Lag:82 - total lag 230",controllerandscaler
"Feb 7, 2024 @ 10:32:08.016","2024-02-07 09:32:08 INFO  Lag:82 - total lag 275",controllerandscaler
"Feb 7, 2024 @ 10:32:07.042","2024-02-07 09:32:07 INFO  Lag:82 - total lag 242",controllerandscaler
"Feb 7, 2024 @ 10:32:05.989","2024-02-07 09:32:05 INFO  Lag:82 - total lag 188",controllerandscaler
"Feb 7, 2024 @ 10:32:04.979","2024-02-07 09:32:04 INFO  Lag:82 - total lag 157",controllerandscaler
"Feb 7, 2024 @ 10:32:03.675","2024-02-07 09:32:03 INFO  Lag:82 - total lag 265",controllerandscaler
"Feb 7, 2024 @ 10:32:02.663","2024-02-07 09:32:02 INFO  Lag:82 - total lag 191",controllerandscaler
"Feb 7, 2024 @ 10:32:01.648","2024-02-07 09:32:01 INFO  Lag:82 - total lag 6",controllerandscaler
"Feb 7, 2024 @ 10:32:00.631","2024-02-07 09:32:00 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:31:59.574","2024-02-07 09:31:59 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:31:58.560","2024-02-07 09:31:58 INFO  Lag:82 - total lag 0",controllerandscaler
